username,address,publicKey,balance
,5717710792717824529X,d650a6b4ed0da7dc14266150e1ed1ba549a7d19e84f9c68e6c3a09955718d923,8902432000000
,3945208716075239890X,15647570a03b73e8db8bbe3ac22d3148ecff495e24bbe9f3a9298ec3d54fbb79,9014152000000
tintin_vote,18439978234965241351X,01f5751f231ed0740216294f6e69edc03548016c4bc570ff2fbfc14581bf6bf9,9104842000000
adamcobain_votes2,12640956146827389340X,98ae719350eacda8d9d04f6adaaed34afdb798cc8ee26ff294b1313ba6774936,9262037588737
johnsnow_vote,1771932979625230216X,26628883a79b7d13c998a0ddc60c602ddea5edae60242917a0782aa1f58797a4,9413742000000
spacetrucker_vote_b,6793771576565152555X,45113644cb8b406fdb77a4b7e411456cc3c57fab15b5508333297e2c23947ca4,9605262000000
stefanoproxy_vote2,6407522856450854177X,6c728f1c491486b622401842d87205a1ecea269c5da03611ea968524458a890f,10001090000000
administrator_voting,13283897705262124431X,04652a39403b1180ddde3c15f76eb37f6f03ab622c1fd799301a1fc592400219,10005235298798
moto_voting,15149178170086563707X,1ab2c304edc114cf1aad1087c4fd9cd2498bf1c914c40eee93937545df451370,10008971171671
,17461539646016139677X,e27882da0f11fbe9992a96abef2037af26f0c8eb1fc0951059a8d1aee28effb9,10010334928776
,162736072323493513X,9cc6d199d939a408e5a28aeba3fc1504c29561eec65c64257a69b890eefd22ef,10014422000000
luxiang7890_vote2,2071223889410961048X,ace8d97afb670464e01ec239af8987a1bde1d51c16a1263f62699b5ad7516fc0,10024022000000
4hope_voting,17743097852416815422X,dbb5eeca792f50379b98e44a4a86838bb84d59d98ff07d5e7f07dbf0237ac4b7,10055469626052
,1532439082326568927X,5f8eec27792bbd730081df4479cf8cd893061c6db1c87d237a37ef1d02a057d6,10370177811381
,225578258292999965X,11919ec4ec4bf52349827b683ef23c33620b83c0721af5a80cf94640af6f3f08,10531049915249
oxychamp_voting_b,9803481811670583614X,1e14d3dd4cacaeb4483d03b760fd5e5cfe58e3021bfc4aa74c2201c4802a8408,11623642000000
forger_of_oxy_vote_b,18041893600339535967X,5657d1cedd5703d2614fa829a051120ba4aa43f0f98b4c2d9c93ad242eded04a,11701460608399
,5036133650912966884X,3579ae7fd1ec0e0d83b7478b7fe08c8b0b0a49b078e9e422beb8b1dd15adffde,12320544020275
smart2dan,577191067936915412X,e071a59c6e720c802b84887a4904d13fce17cbaa95d0c20e128ef66a4f574f3e,12357307305706
,5289156034387765240X,c13f341eacb04e1d8884b2b7b5883cd9d658646a394b7a73aea9f9a792dcc5ad,12408130819824
xujian_vote_b,12211533561713580719X,13299335ba67452f0dbb95426e75b0b0aac4a3061c420fbac393892fa521d2e8,12719142000000
blackswan_b,15189959987391865951X,3014d55447007a46ae1f5406fd1cdfdff4121d4fbbbac7c137c5ec2924997801,13602752000000
cai_vote1,17337710729751793165X,6d33458725a5a1bd8a201c70d3707d5a43d96579c43b0fddfdbdcab1e8835962,15007690000000
deepblue,14466369304057418812X,f3d023c3f6056716a934552c73dcebae1bb649486494d868fba16bb4bbc96028,15138627755596
dakini,15006244975460084808X,519eb8e80c22195d7eba31d9c21129a3b06f6862f7a7b51aee4e8788b81e50bd,15938068118782
shiftux,17518745980941688498X,3dc9c20de01f239f546d6f9d092e373473ae3d3f4b6369c9193ae1e1d345113c,17084694524467
,6052138139915771295X,70df9a39003ce9b3d0e1b0a7a2472773641d698292f9e4708f1e789bbebfa3ab,19880732000000
alexandra_voting,520972424359570686X,d80c6fbc6d4a296e3be637e78af41d9a4e2724968d873665b2b23ea902275971,22215995942523
,17531980694605768130X,905ca9ee4b046b8e135c3be9b8a8467881e4c1d702f59b240ed108f5f39153b7,23105842000000
,9172027053447289425X,2a3ebe65f87e5ce1107a98fbbe588f4bf58ec67c977cdb0c074603e44edcb65e,24037542000000
,10568987632982658570X,466f44177ae984c15e412fecc8ed662940ebf4db04516d5cbf708ee5ce11353b,47665222666283
,17628247840301366741X,b581e86fca36a4d57d1dfcad29c3038fcb9d14ce310107698a0237a03814c528,162413872000000
